ds,y
2011-01-01,808.563
2011-01-02,2455.67
2011-01-03,12419.2463
2011-01-04,2582.801
2011-01-06,10674.9327
2011-01-07,3705.8360000000002
2011-01-08,6769.1215
2011-01-09,7250.914
2011-01-10,1624.20712
2011-01-11,17255.84256
2011-01-12,14118.3252
2011-02-01,314.22
2011-02-02,7712.6763
2011-02-03,4148.3728
2011-02-04,8922.054
2011-02-05,9275.207
2011-02-06,12516.5933
2011-02-07,388.95500000000004
2011-02-08,4399.8345
2011-02-09,14364.1468
2011-02-10,598.144
2011-02-11,7891.089
2011-02-12,6617.981
2011-03-01,4503.5372
2011-03-02,366.644
2011-03-03,7860.8366
2011-03-04,879.26
2011-03-05,5259.2939
2011-03-06,11019.815
2011-03-08,10565.6764
2011-03-09,813.54
2011-03-10,8662.521279999999
2011-03-11,18883.8876
2011-03-12,9013.2148
2011-04-01,2808.87024
2011-04-02,982.982
2011-04-03,1243.0729999999999
2011-04-04,5723.19948
2011-04-05,4678.8967
2011-04-06,1924.083
2011-04-07,1703.5809
2011-04-08,11362.9915
2011-04-10,8180.71572
2011-04-11,18652.758
2011-04-12,615.1999999999999
2011-05-01,3662.3100000000004
2011-05-02,221.39600000000002
2011-05-03,834.166
2011-05-04,9641.8043
2011-05-05,2998.255
2011-05-06,1139.3400000000001
2011-05-07,3442.3215
2011-05-08,5711.4464
2011-05-09,4080.9352
2011-05-10,2596.1845000000003
2011-05-11,10385.6998
2011-05-12,9579.012639999999
2011-06-01,622.5381
2011-06-02,2.688
2011-06-03,135.08
2011-06-04,4672.516
2011-06-05,5964.67968
2011-06-06,9227.715
2011-06-07,3773.45656
2011-06-08,1072.596
2011-06-09,9426.43936
2011-06-10,17181.1931
2011-06-11,1555.6215
2011-06-12,12460.3335
2011-07-01,7123.0185
2011-07-02,1799.1848
2011-07-03,2851.462
2011-07-04,3439.49
2011-07-05,1983.5140000000001
2011-07-06,16750.66916
2011-07-07,4855.94512
2011-07-08,37.86
2011-07-09,6142.553
2011-07-10,11183.80992
2011-07-11,12990.9499
2011-07-12,10246.562
2011-08-01,6293.26
2011-08-02,1007.8199999999999
2011-08-03,9252.5436
2011-08-04,6800.426
2011-08-05,2501.493
2011-08-06,8569.8346
2011-08-07,3385.266
2011-08-08,6721.247
2011-08-09,30310.66592
2011-08-10,3840.9008000000003
2011-08-11,4292.2318
2011-08-12,12324.0375
2011-09-01,813.7494
2011-09-02,4575.80736
2011-09-03,722.766
2011-09-04,367.365
2011-09-05,5018.48574
2011-09-06,10032.232
2011-09-07,2023.0790000000002
2011-09-08,12781.578
2011-09-09,11577.035679999999
2011-09-10,249.35999999999999
2011-09-11,12155.4545
2011-09-12,14101.5524
2011-10-01,6794.18116
2011-10-02,4866.746
2011-10-03,4109.668
2011-10-05,5508.7265
2011-10-06,5473.2366
2011-10-08,13151.891
2011-10-09,3268.4308
2011-10-10,7075.994
2011-10-11,10174.021999999999
2011-10-12,5847.5503
2011-11-01,5128.4517
2011-11-02,562.46736
2011-11-03,2824.88812
2011-11-04,4056.35
2011-11-05,2821.097
2011-11-06,2817.302
2011-11-07,5228.10488
2011-11-08,7410.921
2011-11-09,1367.97
2011-11-10,1961.8194999999998
2011-11-11,24402.39878
2011-11-12,796.63504
2011-12-01,2629.71652
2011-12-02,2870.8
2011-12-03,4636.7480000000005
2011-12-04,2938.237
2011-12-05,5518.592
2011-12-06,37.464
2011-12-07,5227.161
2011-12-08,8696.9869
2011-12-09,13094.27268
2011-12-10,4656.312
2011-12-11,3896.9791999999998
2011-12-12,5970.30708
2012-01-02,1655.2549
2012-01-03,3912.28452
2012-01-04,510.8958
2012-01-05,3648.9454
2012-01-06,9000.1855
2012-01-07,2542.08
2012-01-08,12391.7964
2012-01-09,5592.234
2012-01-10,14903.2949
2012-01-11,11864.54772
2012-01-12,15573.4269
2012-02-01,9589.3247
2012-02-02,11630.772
2012-02-03,8617.88
2012-02-04,4606.772
2012-02-05,2318.871
2012-02-06,6164.8454
2012-02-07,3445.8801
2012-02-08,11718.6331
2012-02-09,2085.825
2012-02-10,6454.2592
2012-02-11,15596.33214
2012-02-12,282.348
2012-03-01,3453.3043
2012-03-02,957.816
2012-03-03,625.0500000000001
2012-03-04,2207.699
2012-03-05,5683.18706
2012-03-06,178.146
2012-03-07,6435.9445
2012-03-08,18098.051620000002
2012-03-09,11086.86004
2012-03-10,9505.849
2012-03-11,4391.83864
2012-03-12,18806.7614
2012-04-01,2425.6239
2012-04-02,4976.20924
2012-04-04,2904.12448
2012-04-05,10824.71712
2012-04-06,6691.72206
2012-04-07,9367.307
2012-04-08,1388.094
2012-04-09,10163.6145
2012-04-10,8663.3906
2012-04-11,820.52
2012-04-12,16801.13678
2012-05-01,5662.225
2012-05-02,396.84
2012-05-03,8252.424
2012-05-04,9765.98048
2012-05-05,1394.5904
2012-05-06,11513.6761
2012-05-07,3103.06054
2012-05-08,2078.9689999999996
2012-05-09,9362.82758
2012-05-10,16100.35278
2012-05-11,11835.9504
2012-05-12,6582.62436
2012-06-01,544.514
2012-06-02,8575.101
2012-06-03,5920.861
2012-06-04,7148.48124
2012-06-05,1149.10868
2012-06-06,8434.03
2012-06-07,8492.15192
2012-06-08,7336.64898
2012-06-09,13884.712880000001
2012-06-10,4668.3783
2012-06-11,5124.82818
2012-06-12,9399.465
2012-07-01,3699.814
2012-07-02,4020.95
2012-07-03,8466.048999999999
2012-07-04,6394.754
2012-07-05,11200.05968
2012-07-06,6935.7135
2012-07-07,2706.87
2012-07-08,7648.6467
2012-07-09,13458.077
2012-07-10,96.0
2012-07-11,10486.20774
2012-07-12,11723.7461
2012-08-01,2176.4519999999998
2012-08-02,2318.80634
2012-08-03,4857.2925
2012-08-05,10824.805
2012-08-06,8928.635400000001
2012-08-07,33.984
2012-08-08,7691.2998
2012-08-09,2109.5514
2012-08-10,4785.0808
2012-08-11,27825.106
2012-08-12,3716.412
2012-09-01,3598.2799999999997
2012-09-02,3968.6079999999997
2012-09-03,3455.53676
2012-09-04,2306.491
2012-09-05,6777.641
2012-09-06,3934.5448
2012-09-07,5109.27364
2012-09-08,12666.19216
2012-09-09,3305.814
2012-09-10,8865.54108
2012-09-11,12353.3231
2012-09-12,2455.9500000000003
2012-10-01,6105.069
2012-10-02,3683.7683
2012-10-03,747.693
2012-10-04,3481.707
2012-10-05,8658.9026
2012-10-06,3240.8355
2012-10-07,2585.2245
2012-10-08,15656.0786
2012-10-09,14980.9303
2012-10-10,9466.34074
2012-10-11,14394.38856
2012-10-12,8745.13128
2012-11-01,4621.866
2012-11-02,203.928
2012-11-03,381.84
2012-11-04,5853.7588
2012-11-05,10523.35952
2012-11-06,13065.01562
2012-11-07,8675.20296
2012-11-08,1506.948
2012-11-09,7064.7848
2012-11-10,11401.3765
2012-11-11,1546.368
2012-11-12,12009.4673
2012-12-01,6423.098
2012-12-02,156.54
2012-12-03,4087.2451
2012-12-04,3760.98448
2012-12-05,3610.6620000000003
2012-12-06,10779.268
2012-12-07,5471.2080000000005
2012-12-08,691.905
2012-12-09,6383.682
2012-12-10,10974.386
2012-12-11,10993.337
2012-12-12,7409.1392
2013-01-01,9369.153
2013-01-02,3303.96156
2013-01-03,6476.10804
2013-01-04,5475.045
2013-01-05,11281.0388
2013-01-06,8286.255
2013-01-07,9097.37888
2013-01-08,15289.22888
2013-01-09,365.308
2013-01-10,7366.253
2013-01-11,19679.46202
2013-01-12,1364.885
2013-02-01,9592.0156
2013-02-02,11259.022640000001
2013-02-03,7178.032
2013-02-04,10105.3645
2013-02-05,1993.9131
2013-02-06,1710.822
2013-02-07,10953.62664
2013-02-08,8742.24422
2013-02-09,12374.2472
2013-02-10,10891.81576
2013-02-11,3214.961
2013-02-12,15644.011
2013-03-01,5790.969
2013-03-02,1204.71
2013-03-03,444.8958
2013-03-04,5294.4016
2013-03-05,10874.3859
2013-03-06,11923.132
2013-03-07,9431.70904
2013-03-08,4220.29
2013-03-09,21873.6059
2013-03-10,26325.29798
2013-03-12,17586.721
2013-04-01,16266.57344
2013-04-02,1414.609
2013-04-03,14524.712
2013-04-04,3970.899
2013-04-05,7506.0037
2013-04-06,12461.48674
2013-04-07,6050.2232
2013-04-08,3239.6904
2013-04-09,14181.08688
2013-04-10,12645.5704
2013-04-11,13764.68714
2013-04-12,17285.57442
2013-05-01,5795.9995
2013-05-02,18217.84608
2013-05-03,8917.34268
2013-05-04,8829.8345
2013-05-05,1605.4199999999998
2013-05-06,16398.9758
2013-05-07,5129.5397
2013-05-08,6640.5477
2013-05-09,17986.4125
2013-05-10,10810.0834
2013-05-11,14877.774
2013-05-12,6781.7519999999995
2013-06-01,98.96
2013-06-02,8925.3719
2013-06-03,6954.35032
2013-06-04,3030.1485
2013-06-05,6279.6324
2013-06-06,7118.6938
2013-06-07,5712.55404
2013-06-08,12377.637
2013-06-09,14315.947
2013-06-10,72.9204
2013-06-11,16161.4569
2013-06-12,18564.8536
2013-07-01,12466.376
2013-07-02,6639.809
2013-07-03,3656.2318999999998
2013-07-04,2496.13
2013-07-05,7033.7023
2013-07-06,20571.80336
2013-07-07,51.52
2013-07-08,12501.47344
2013-07-09,2432.237
2013-07-10,7183.82046
2013-07-11,8003.7217
2013-07-12,6579.005
2013-08-01,6649.573
2013-08-02,9333.5721
2013-08-03,9786.367
2013-08-04,7426.4559
2013-08-05,11358.209499999999
2013-08-06,7516.1973
2013-08-07,16834.878
2013-08-08,6508.44688
2013-08-09,1058.2104
2013-08-10,9808.1772
2013-08-11,13703.4378
2013-08-12,383.68
2013-09-01,4550.418
2013-09-02,5124.833
2013-09-03,2424.0645600000003
2013-09-04,10098.59432
2013-09-05,6235.9187
2013-09-06,449.67
2013-09-07,5904.4355
2013-09-08,9095.2398
2013-09-09,15472.0449
2013-09-10,14508.5563
2013-09-11,9975.90192
2013-09-12,12862.0501
2013-10-01,7355.4429
2013-10-02,655.095
2013-10-03,635.6
2013-10-04,6461.4648
2013-10-05,8156.05
2013-10-06,17030.41572
2013-10-07,9843.082
2013-10-08,3922.8880000000004
2013-10-09,16072.41986
2013-10-10,4804.227
2013-10-11,479.97
2013-10-12,15568.2905
2013-11-01,4887.5745
2013-11-02,8821.35362
2013-11-03,17290.73736
2013-11-04,2870.812
2013-11-05,6436.862
2013-11-06,23931.94808
2013-11-07,10683.4364
2013-11-08,943.506
2013-11-09,12136.6402
2013-11-10,11738.0949
2013-11-11,18571.4531
2013-11-12,17125.6233
2013-12-01,7543.6876
2013-12-02,6429.715999999999
2013-12-03,5043.378
2013-12-04,7889.1546
2013-12-05,436.834
2013-12-06,15220.15206
2013-12-07,9839.04672
2013-12-08,18109.254960000002
2013-12-09,13691.0805
2013-12-10,4575.07016
2013-12-11,8900.3441
2013-12-12,18001.20684
2014-01-01,3614.0345
2014-01-02,866.496
2014-01-03,2913.3226799999998
2014-01-04,11765.4333
2014-01-05,10075.2904
2014-01-06,2039.844
